name,type
journal of environmental science and health part c-environmental carcinogenesis & ecotoxicology reviews,4
journal of environmental science and management,0.323
journal of environmental sciences,2.937
journal of enzyme inhibition and medicinal chemistry,4.293
journal of epidemiology,2.447
journal of epidemiology and community health,3.608
journal of equine veterinary science,0.882
journal of essential oil bearing plants,0.493
journal of essential oil research,0.972
journal of esthetic and restorative dentistry,1.273
journal of ethnic and migration studies,1.362
journal of ethnobiology,1.217
journal of ethnobiology and ethnomedicine,1.903
journal of ethnopharmacology,2.981
journal of ethology,1.061
journal of eukaryotic microbiology,2.692
journal of european integration,1.678
journal of european public policy,2.982
journal of european social policy,1.593
journal of evaluation in clinical practice,1.25
journal of evidence-based dental practice,2.477
journal of evidence-based psychotherapies,0.222
journal of evolution equations,1.038
journal of evolutionary biochemistry and physiology,0.316
journal of evolutionary biology,2.792
journal of evolutionary economics,0.862
journal of exercise science & fitness,0.576
journal of exotic pet medicine,0.376
journal of experimental & clinical cancer research,5.189
journal of experimental & theoretical artificial intelligence,1.384
journal of experimental and theoretical physics,1.196
journal of experimental biology,3.32
journal of experimental botany,5.83
journal of experimental child psychology,2.602
journal of experimental criminology,2.17
journal of experimental education,1.588
journal of experimental marine biology and ecology,1.937
journal of experimental medicine,11.991
journal of experimental nanoscience,0.863
journal of experimental psychology-animal learning and cognition,2.132
journal of experimental psychology-applied,2.156
journal of experimental psychology-general,4.42
journal of experimental psychology-human perception and performance,2.287
journal of experimental psychology-learning memory and cognition,2.667
journal of experimental psychopathology,0.516
journal of experimental social psychology,2.159
journal of experimental zoology part a-ecological genetics and physiology,1.28
journal of experimental zoology part b-molecular and developmental evolution,2.387
journal of exposure science and environmental epidemiology,2.927
journal of eye movement research,1.295
journal of family business strategy,2.375
journal of family history,0.239
journal of family issues,1.696
journal of family nursing,2.537
journal of family planning and reproductive health care,1.519
journal of family practice,0.664
journal of family psychology,1.742
journal of family studies,0.69
journal of family theory & review,1.568
journal of family therapy,1.186
journal of family violence,0.871
journal of feline medicine and surgery,1.131
journal of field ornithology,1.5
journal of field robotics,4.882
journal of finance,6.043
journal of financial and quantitative analysis,1.673
journal of financial econometrics,1.8
journal of financial economics,4.505
journal of financial intermediation,1.627
journal of financial markets,1.134
journal of financial research,0.61
journal of financial services research,1.13
journal of financial stability,1.946
journal of fire sciences,1.051
journal of fish and wildlife management,0.633
journal of fish biology,1.519
journal of fish diseases,2.138
journal of fixed point theory and applications,0.681
journal of flood risk management,3.121
journal of flow chemistry,1.768
journal of fluency disorders,2.714
journal of fluid mechanics,2.821
journal of fluids and structures,2.021
journal of fluids engineering-transactions of the asme,1.437
journal of fluorescence,1.461
journal of fluorine chemistry,2.101
journal of food and drug analysis,3.048
journal of food and nutrition research,1.95
journal of food biochemistry,1
journal of food composition and analysis,2.752
journal of food engineering,3.099
journal of food measurement and characterization,0.536
journal of food process engineering,1.37
journal of food processing and preservation,0.791
journal of food protection,1.417
journal of food quality,0.968
journal of food safety,0.948
journal of food safety and food quality-archiv fur lebensmittelhygiene,0.062
journal of food science,1.815
journal of food science and technology-mysore,1.262
journal of foot & ankle surgery,0.907
journal of foot and ankle research,1.405
journal of foraminiferal research,1.7
journal of forecasting,0.747
journal of forensic and legal medicine,1.135
journal of forensic nursing,0.603
journal of forensic psychiatry & psychology,1
journal of forensic psychology practice,0.609
journal of forensic sciences,1.127
journal of forest economics,1.093
journal of forest research,0.667
journal of forestry,1.675
journal of forestry research,0.774
journal of fourier analysis and applications,1.095
journal of french language studies,0.4
journal of freshwater ecology,0.942
journal of friction and wear,0.514
journal of fuel cell science and technology,0.817
journal of function spaces,0.451
journal of functional analysis,1.254
journal of functional foods,3.144
journal of functional programming,0.677
journal of fusion energy,0.858
journal of futures markets,1.291
journal of gambling studies,2.173
journal of gastroenterology,0.165
journal of gastroenterology and hepatology,3.452
journal of gastrointestinal and liver diseases,1.837
journal of gastrointestinal surgery,2.963
journal of gender studies,0.676
journal of gene medicine,2.524
journal of general and applied microbiology,0.902
journal of general internal medicine,3.701
journal of general physiology,4.2
journal of general plant pathology,1.225
journal of general psychology,0.872
journal of general virology,2.838
journal of genetic counseling,1.938
journal of genetic psychology,0.452
journal of genetics,0.995
journal of genetics and genomics,4.051
journal of geochemical exploration,2.464
journal of geodesy,2.949
journal of geodynamics,1.806
journal of geographical sciences,2.364
journal of geographical systems,1.314
journal of geography,0.959
journal of geography in higher education,0.529
journal of geology,1.952
journal of geometric analysis,0.87
journal of geometric mechanics,0.857
journal of geometry and physics,0.819
journal of geophysical research-atmospheres,3.454
journal of geophysical research-biogeosciences,3.395
journal of geophysical research-earth surface,3.412
journal of geophysical research-oceans,2.939
journal of geophysical research-planets,3.721
journal of geophysical research-solid earth,3.35
journal of geophysical research-space physics,2.733
journal of geophysics and engineering,0.994
journal of geosciences,0.609
journal of geotechnical and geoenvironmental engineering,2.464
journal of geriatric cardiology,1.806
journal of geriatric oncology,2.852
journal of geriatric physical therapy,1.51
journal of geriatric psychiatry and neurology,2.109
journal of germanic linguistics,0.263
journal of gerontological nursing,0.827
journal of ginseng research,4.082
journal of glaciology,3.643
journal of glaucoma,2.263
journal of global antimicrobial resistance,1.276
journal of global health,2.707
journal of global history,0.829
journal of global information management,0.517
journal of global information technology management,1.167
journal of global optimization,1.733
journal of graph theory,0.601
journal of great lakes research,1.958
journal of grey system,0.5
journal of grid computing,2.766
journal of group theory,0.457
journal of guidance control and dynamics,1.856
journal of gynecologic oncology,3.14
journal of hand surgery-american volume,1.606
journal of hand surgery-european volume,2.191
journal of hand therapy,1.159
journal of happiness studies,2.327
journal of hard tissue biology,0.415
journal of hazardous materials,6.065
journal of head trauma rehabilitation,3.214
journal of headache and pain,3.58
journal of health and social behavior,3
journal of health care for the poor and underserved,0.916
journal of health communication,1.614
journal of health economics,2.373
journal of health organization and management,1.07
journal of health politics policy and law,1.309
journal of health population and nutrition,1.187
journal of health psychology,2.182
journal of health services research & policy,1.605
journal of healthcare engineering,0.965
journal of healthcare management,0.864
journal of heart and lung transplantation,7.114
journal of heat transfer-transactions of the asme,1.866
journal of helminthology,1.42
journal of hematology & oncology,6.35
journal of hematopathology,0.277
journal of hepato-biliary-pancreatic sciences,2.71
journal of hepatology,12.486
journal of herbal medicine,1.327
journal of heredity,2.432
journal of herpetology,0.911
journal of heterocyclic chemistry,0.893
journal of heuristics,1.807
journal of high energy physics,6.063
journal of higher education,1.883
journal of histochemistry & cytochemistry,2.511
journal of historical geography,0.772
journal of historical pragmatics,0.227
journal of historical sociology,0.553
journal of histotechnology,0.111
journal of homeland security and emergency management,0.474
journal of homosexuality,1.369
journal of homotopy and related structures,0.456
journal of horticultural science & biotechnology,0.538
journal of hospice & palliative nursing,0.672
journal of hospital infection,3.126
journal of hospital medicine,2.203
journal of hospitality & tourism research,2.646
journal of hospitality leisure sport & tourism education,0.206
journal of housing and the built environment,1.178
journal of housing economics,1.069
journal of huazhong university of science and technology-medical sciences,0.964
journal of human capital,0.645
journal of human development and capabilities,0.766
journal of human evolution,3.932
journal of human genetics,2.471
journal of human hypertension,2.797
journal of human kinetics,0.798
journal of human lactation,2.007
journal of human nutrition and dietetics,2.638
journal of human resources,4.047
journal of human rights,1.216
journal of humanistic psychology,0.689
journal of hydraulic engineering,2.183
journal of hydraulic research,1.268
journal of hydrodynamics,1.174
journal of hydrodynamics series b,科技核心
journal of hydro-environment research,1.429
journal of hydroinformatics,1.634
journal of hydrologic engineering,1.694
journal of hydrology,3.483
journal of hydrology and hydromechanics,1.654
journal of hydrometeorology,3.641
journal of hymenoptera research,0.793
journal of hyperbolic differential equations,0.94
journal of hypertension,4.085
journal of iberian geology,1.891
journal of imaging science and technology,0.348
journal of immigrant and minority health,1.314
journal of immunological methods,2.1
journal of immunology,4.856
journal of immunology research,3.276
journal of immunotherapy,3.915
journal of immunotoxicology,2.021
journal of inclusion phenomena and macrocyclic chemistry,1.095
journal of individual differences,1.123
journal of industrial and engineering chemistry,4.421
journal of industrial and management optimization,0.994
journal of industrial ecology,4.123
journal of industrial economics,0.963
journal of industrial microbiology & biotechnology,2.81
journal of industrial relations,0.684
journal of industrial textiles,1.75
journal of inequalities and applications,0.791
journal of infection,4.201
journal of infection and chemotherapy,1.826
journal of infection and public health,1.439
journal of infection in developing countries,1.353
journal of infectious diseases,6.273
journal of inflammation-london,2.495
journal of information science,1.372
journal of information science and engineering,0.468
journal of information technology,6.953
journal of informetrics,2.92
journal of infrared and millimeter waves,0.267
journal of infrared millimeter and terahertz waves,2.54
journal of infrastructure systems,1.516
journal of inherited metabolic disease,3.97
journal of innate immunity,3.938
journal of innovative optical health sciences,1.12
journal of inorganic and organometallic polymers and materials,1.577
journal of inorganic biochemistry,3.348
journal of inorganic materials,0.444
journal of insect behavior,0.97
journal of insect conservation,1.462
journal of insect physiology,2.227
journal of insect science,0.843
journal of institutional and theoretical economics-zeitschrift fur die gesamte staatswissenschaft,0.28
journal of institutional economics,0.794
journal of instrumentation,1.22
journal of integral equations and applications,0.776
journal of integrative agriculture,1.042
journal of integrative environmental sciences,0.366
journal of integrative medicine,科技核心
journal of integrative neuroscience,0.647
journal of integrative plant biology,3.962
journal of intellectual & developmental disability,1.041
journal of intellectual disability research,1.99
journal of intelligent & fuzzy systems,1.261
journal of intelligent & robotic systems,1.512
journal of intelligent information systems,1.294
journal of intelligent manufacturing,3.035
journal of intelligent material systems and structures,2.255
journal of intelligent transportation systems,1.769
journal of intensive care medicine,2.156
journal of interactive marketing,5.026
journal of interdisciplinary history,0.452
journal of interferon and cytokine research,2.377
journal of internal medicine,7.598
journal of international advanced otology,0.392
journal of international business studies,5.869
journal of international criminal justice,0.811
journal of international development,0.786
journal of international economic law,1.224
journal of international economics,2.042
journal of international financial management & accounting,1.118
journal of international financial markets institutions & money,1.379
journal of international management,2.6
journal of international marketing,3.725
journal of international medical research,1.323
journal of international money and finance,1.853
journal of international relations and development,1.302
journal of international trade & economic development,0.475
journal of internet technology,1.93
journal of interpersonal violence,1.94
journal of interprofessional care,2.205
journal of interventional cardiac electrophysiology,1.826
journal of interventional cardiology,1.88
journal of invasive cardiology,1.399
journal of inverse and ill-posed problems,0.783
journal of invertebrate pathology,2.379
journal of investigational allergology and clinical immunology,3.094
journal of investigative dermatology,6.287
journal of investigative medicine,1.943
journal of investigative psychology and offender profiling,0.938
journal of investigative surgery,1.532
journal of iron and steel research international,0.836
journal of iron and steel research, international,科技核心
journal of irrigation and drainage engineering,1.983
journal of israeli history,0.1
journal of japanese studies,0.4
journal of knee surgery,1.657
journal of knot theory and its ramifications,0.363
journal of knowledge management,2.053
journal of korea trade,0.447
journal of korean academy of nursing,0.521
journal of korean medical science,1.459
journal of korean neurosurgical society,0.708
journal of k-theory,0.525
journal of labelled compounds & radiopharmaceuticals,1.745
journal of labor economics,2.887
journal of labor research,0.545
journal of language and politics,0.386
journal of language and social psychology,1.272
journal of language identity and education,0.477
journal of laparoendoscopic & advanced surgical techniques,1.255
journal of laryngology and otology,0.844
journal of laser applications,1.492
journal of laser micro nanoengineering,0.763
journal of latin american cultural studies,0.078
journal of latin american studies,0.568
journal of law & economics,0.932
journal of law and society,0.796
journal of law economics & organization,1.212
journal of law medicine & ethics,1.223
journal of leadership & organizational studies,1.242
journal of learning disabilities,1.494
journal of legal analysis,2.8
journal of legal education,0.55
journal of legal studies,1.77
journal of leisure research,0.851
journal of leukocyte biology,4.018
journal of librarianship and information science,1.019
journal of lie theory,0.471
journal of lightwave technology,3.671
journal of limnology,1.451
journal of linguistic anthropology,1.469
journal of linguistics,0.903
journal of lipid research,4.81
journal of liposome research,1.971
journal of liquid chromatography & related technologies,0.697
journal of literacy research,1.107
journal of logic and computation,0.909
journal of logic language and information,0.548
journal of logical and algebraic methods in programming,0.692
journal of loss & trauma,0.744
journal of loss prevention in the process industries,1.818
journal of low frequency noise vibration and active control,1.017
journal of low temperature physics,1.3
journal of lower genital tract disease,1.205
journal of luminescence,2.686
journal of machine learning research,5
journal of macroeconomics,0.791
journal of macromarketing,1.819
journal of macromolecular science part a-pure and applied chemistry,0.963
journal of macromolecular science part b-physics,0.828
journal of magnetic resonance,2.432
journal of magnetic resonance imaging,3.083
journal of magnetics,0.713
journal of magnetism and magnetic materials,2.63
journal of mammalian evolution,2.271
journal of mammalogy,1.63
journal of mammary gland biology and neoplasia,3.243
journal of managed care & specialty pharmacy,1.114
journal of managed care pharmacy,14.789
journal of management,7.733
journal of management & organization,0.539
journal of management in engineering,2.011
journal of management information systems,2.356
journal of management inquiry,1.2
journal of management studies,3.962
journal of managerial psychology,1.195
journal of manipulative and physiological therapeutics,1.592
journal of manufacturing processes,2.322
journal of manufacturing science and engineering-transactions of the asme,3.48
journal of manufacturing systems,2.77
journal of maps,2.174
journal of marine engineering and technology,0.406
journal of marine research,0.935
journal of marine science and application,科技核心
journal of marine science and technology,0.838
journal of marine science and technology-taiwan,0.305
journal of marine systems,2.439
journal of marketing,5.318
journal of marketing research,3.654
journal of marriage and family,2.238
journal of mass media ethics,0.419
journal of mass spectrometry,2.422
journal of material culture,0.932
journal of material cycles and waste management,1.604
journal of materials chemistry a,8.867
journal of materials chemistry b,4.543
journal of materials chemistry c,5.256
journal of materials education,0.452
journal of materials engineering and performance,1.331
journal of materials in civil engineering,1.644
journal of materials processing technology,3.147
journal of materials research,1.673
journal of materials research and technology-jmr&t,2.359
journal of materials science,2.599
journal of materials science & technology,2.764
journal of materials science-materials in electronics,2.019
journal of materials science-materials in medicine,2.325
journal of maternal-fetal & neonatal medicine,1.826
journal of mathematical analysis and applications,1.064
journal of mathematical biology,1.566
journal of mathematical chemistry,1.308
journal of mathematical economics,0.597
journal of mathematical fluid mechanics,1.106
journal of mathematical imaging and vision,1.994
journal of mathematical inequalities,0.777
journal of mathematical logic,0.9
journal of mathematical physics,1.077
journal of mathematical physics analysis geometry,0.205
journal of mathematical psychology,1.377
journal of mathematical sociology,0.567
journal of mathematics and music,0.435
journal of mechanical design,2.565
journal of mechanical science and technology,1.128
journal of mechanics,0.819
journal of mechanics in medicine and biology,0.934
journal of mechanics of materials and structures,0.85
journal of mechanisms and robotics-transactions of the asme,2.371
journal of media economics,0.217
journal of media psychology-theories methods and applications,1.057
journal of medical and biological engineering,0.989
journal of medical biochemistry,1.148
journal of medical devices-transactions of the asme,0.394
journal of medical entomology,1.65
journal of medical ethics,1.529
journal of medical genetics,5.451
journal of medical imaging and health informatics,0.621
journal of medical imaging and radiation oncology,1.189
journal of medical internet research,5.175
journal of medical microbiology,2.159
journal of medical primatology,0.814
journal of medical screening,1.864
journal of medical systems,2.456
journal of medical ultrasonics,0.455
journal of medical virology,1.935
journal of medicinal chemistry,6.259
journal of medicinal food,1.955
journal of medicine and philosophy,0.871
journal of membrane biology,1.696
journal of membrane science,6.035
journal of memory and language,3.065
journal of mens health,0.516
journal of mental health,1.941
journal of mental health policy and economics,1
journal of mental health research in intellectual disabilities,0.567
journal of metamorphic geology,3.594
journal of meteorological research,0.95
journal of microbiological methods,1.79
journal of microbiology,1.924
journal of microbiology and biotechnology,1.75
journal of microbiology immunology and infection,2.973
journal of microelectromechanical systems,2.124
journal of microencapsulation,1.543
journal of micromechanics and microengineering,1.794
journal of micro-nanolithography mems and moems,1.35
journal of micropalaeontology,0.889
journal of microscopy,1.692
journal of microwave power and electromagnetic energy,0.575
journal of middle east womens studies,0.154
journal of midwifery & womens health,1.5
journal of mineralogical and petrological sciences,0.409
journal of minimal access surgery,1.282
journal of minimally invasive gynecology,3.061
journal of mining and metallurgy section b-metallurgy,0.804
journal of mining science,0.353
journal of mixed methods research,1.6
journal of modern african studies,0.918
journal of modern dynamics,0.706
journal of modern european history,0.25
journal of modern history,1.061
journal of modern italian studies,0.394
journal of modern optics,1.328
journal of modern power systems and clean energy,1.207
journal of molecular and cellular cardiology,5.68
journal of molecular biology,4.632
journal of molecular catalysis a-chemical,4.211
journal of molecular catalysis b-enzymatic,2.269
journal of molecular cell biology,5.988
journal of molecular diagnostics,4.526
journal of molecular endocrinology,3.577
journal of molecular evolution,2.434
journal of molecular graphics & modelling,1.754
journal of molecular histology,2.362
journal of molecular liquids,3.648
journal of molecular medicine-jmm,4.686
journal of molecular microbiology and biotechnology,1.25
journal of molecular modeling,1.425
journal of molecular neuroscience,2.229
journal of molecular recognition,2.175
journal of molecular spectroscopy,1.618
journal of molecular structure,1.753
journal of molluscan studies,1.25
journal of monetary economics,2.11
journal of money credit and banking,1.509
journal of moral education,0.644
journal of moral philosophy,0.424
journal of morphology,1.655
journal of motor behavior,1.327
journal of mountain science,1.016
journal of multicultural counseling and development,0.421
journal of multilingual and multicultural development,0.943
journal of multiple-valued logic and soft computing,0.365
journal of multivariate analysis,0.901
journal of muscle research and cell motility,2.052
journal of musculoskeletal & neuronal interactions,1.489
journal of musculoskeletal pain,0.312
journal of music therapy,1
journal of nano research,0.511
journal of nanobiotechnology,4.946
journal of nanoelectronics and optoelectronics,0.497
journal of nanomaterials,1.871
journal of nanoparticle research,2.02
journal of nanophotonics,1.325
journal of nanoscience and nanotechnology,1.483
journal of natural fibers,0.974
journal of natural gas science and engineering,2.718
journal of natural history,0.834
journal of natural medicines,1.982
journal of natural products,3.281
journal of navigation,1.586
journal of near infrared spectroscopy,0.977
journal of nematology,1.087
journal of nepal medical association,0.047
journal of nephrology,2.153
journal of nervous and mental disease,1.86
journal of network and computer applications,3.5
journal of network and systems management,1.588
journal of neural engineering,3.465
journal of neural transmission,2.392
journal of neurochemistry,4.083
journal of neurodevelopmental disorders,3.582
journal of neuroendocrinology,3.47
journal of neuroengineering and rehabilitation,3.516
journal of neurogastroenterology and motility,2.457
journal of neurogenetics,2.291
journal of neuroimaging,1.664
journal of neuroimmune pharmacology,3.339
journal of neuroimmunology,2.72
journal of neuroinflammation,5.102
journal of neurointerventional surgery,3.551
journal of neurolinguistics,1.403
journal of neurologic physical therapy,2.524
journal of neurological sciences-turkish,0.123
journal of neurological surgery part a-central european neurosurgery,0.726
journal of neurological surgery part b-skull base,1.092
journal of neurology,3.389
journal of neurology neurosurgery and psychiatry,7.349
journal of neuro-oncology,2.98
journal of neuro-ophthalmology,2
journal of neuropathology and experimental neurology,3.503
journal of neurophysiology,2.396
journal of neuropsychiatry and clinical neurosciences,1.846
journal of neuropsychology,3.634
journal of neuroradiology,2.526
journal of neuroscience,5.988
journal of neuroscience methods,2.554
journal of neuroscience nursing,0.642
journal of neuroscience psychology and economics,1.188
journal of neuroscience research,2.481
journal of neurosurgery,4.059
journal of neurosurgery-pediatrics,2.17
journal of neurosurgery-spine,2.696
journal of neurosurgical anesthesiology,3.925
journal of neurosurgical sciences,1.522
journal of neurotrauma,5.19
journal of neurovirology,3.206
journal of new materials for electrochemical systems,0.222
journal of new music research,1.122
journal of nippon medical school,0.436
journal of noncommutative geometry,0.625
journal of non-crystalline solids,2.124
journal of nondestructive evaluation,1.504
journal of non-equilibrium thermodynamics,1.714
journal of nonlinear and convex analysis,0.642
journal of nonlinear mathematical physics,0.986
journal of nonlinear optical physics & materials,1
journal of nonlinear science,1.904
journal of nonlinear sciences and applications,1.34
journal of non-newtonian fluid mechanics,2.536
journal of nonparametric statistics,0.507
journal of nonverbal behavior,1.588
journal of nuclear cardiology,3.93
journal of nuclear materials,2.048
journal of nuclear medicine,6.646
journal of nuclear science and technology,0.965
journal of number theory,0.747
journal of numerical mathematics,0.405
journal of nursing administration,1.386
journal of nursing care quality,1.224
journal of nursing education,0.957
journal of nursing management,1.905
journal of nursing research,0.944
journal of nursing scholarship,2.396
journal of nutrigenetics and nutrigenomics,1.5
journal of nutrition,4.145
journal of nutrition education and behavior,2.491
journal of nutrition health & aging,2.772
journal of nutritional biochemistry,4.518
journal of nutritional science and vitaminology,0.674
journal of obsessive-compulsive and related disorders,1.634
journal of obstetrics and gynaecology,0.629
journal of obstetrics and gynaecology research,1.086
journal of occupational and environmental hygiene,1.2
journal of occupational and environmental medicine,1.861
journal of occupational and organizational psychology,3.139
journal of occupational health,1.848
journal of occupational health psychology,2.679
journal of occupational medicine and toxicology,1.482
journal of occupational rehabilitation,1.713
journal of ocean university of china,0.601
journal of oceanography,1.347
journal of ocular pharmacology and therapeutics,1.679
journal of official statistics,0.411
journal of offshore mechanics and arctic engineering-transactions of the asme,0.993
journal of oil palm research,0.535
journal of oleo science,1.076
journal of oncology pharmacy practice,1.735
journal of operational oceanography,3.342
journal of operational risk,0.677
journal of operations management,5.207
journal of operator theory,0.524
journal of ophthalmology,1.712
journal of optical communications and networking,2.261
journal of optical technology,0.299
journal of optics,1.741
journal of optimization theory and applications,1.289
journal of optoelectronics and advanced materials,0.449
journal of oral & facial pain and headache,2.76
journal of oral and maxillofacial surgery,1.916
journal of oral implantology,1.372
journal of oral microbiology,3.723
journal of oral pathology & medicine,2.043
journal of oral rehabilitation,2.098
journal of oral science,0.876
journal of organic chemistry,4.849
journal of organizational and end user computing,0.759
journal of organizational behavior,3.607
journal of organizational behavior management,1.189
journal of organizational change management,0.761
journal of organizational computing and electronic commerce,0.579
journal of organometallic chemistry,2.184
journal of ornithology,1.468
journal of orofacial orthopedics-fortschritte der kieferorthopadie,0.753
journal of orthopaedic & sports physical therapy,2.825
journal of orthopaedic research,2.692
journal of orthopaedic science,1.133
journal of orthopaedic surgery,0.816
journal of orthopaedic surgery and research,1.545
journal of orthopaedic trauma,2.251
journal of otolaryngology-head & neck surgery,1.495
journal of ovarian research,2.461
journal of ovonic research,0.698
journal of pacific rim psychology,0.909
journal of paediatrics and child health,1.572
journal of pain,4.519
journal of pain and symptom management,2.905
journal of pain research,2.581
journal of paleolimnology,2.017
journal of paleontology,1.591
journal of palestine studies,0.103
journal of palliative care,0.618
journal of palliative medicine,2.23
journal of parallel and distributed computing,1.93
journal of parasitology,1.326
journal of parenteral and enteral nutrition,4.22
journal of parkinsons disease,2.538
journal of pathology,6.894
journal of patient safety,2.476
journal of peace research,2.284
journal of peasant studies,4.149
journal of pediatric and adolescent gynecology,1.576
journal of pediatric endocrinology & metabolism,1.233
journal of pediatric gastroenterology and nutrition,2.799
journal of pediatric health care,1.46
journal of pediatric hematology oncology,1.076
journal of pediatric nursing-nursing care of children & families,1.158
journal of pediatric oncology nursing,0.987
journal of pediatric ophthalmology & strabismus,0.902
journal of pediatric orthopaedics,1.695
journal of pediatric orthopaedics-part b,0.638
journal of pediatric psychology,2.444
journal of pediatric surgery,1.976
journal of pediatric urology,1.611
journal of pediatrics,3.874
journal of pension economics & finance,0.575
journal of peptide science,1.972
journal of performance of constructed facilities,1.192
journal of perianesthesia nursing,0.764
journal of perinatal & neonatal nursing,0.937
journal of perinatal medicine,1.577
journal of perinatology,2.313
journal of periodontal and implant science,1.23
journal of periodontal research,2.662
journal of periodontology,3.03
journal of personality,3.59
journal of personality and social psychology,5.017
journal of personality assessment,2.024
journal of personality disorders,3.158
journal of personnel psychology,1.098
journal of pest science,3.728
journal of pesticide science,0.762
journal of petroleum geology,1.341
journal of petroleum science and engineering,1.873
journal of petrology,3.28
journal of pharmaceutical and biomedical analysis,3.255
journal of pharmaceutical innovation,2.234
journal of pharmaceutical sciences,2.713
journal of pharmacokinetics and pharmacodynamics,1.673
journal of pharmacological and toxicological methods,2.238
journal of pharmacological sciences,2.415
journal of pharmacology and experimental therapeutics,3.867
journal of pharmacy and pharmaceutical sciences,1.811
journal of pharmacy and pharmacology,2.405
journal of phase equilibria and diffusion,0.938
journal of philosophy of education,0.805
journal of phonetics,1.352
journal of photochemistry and photobiology a-chemistry,2.625
journal of photochemistry and photobiology b-biology,2.673
journal of photochemistry and photobiology c-photochemistry reviews,12.317
journal of photonics for energy,2.287
journal of photopolymer science and technology,0.791
journal of phycology,2.608
journal of physical activity & health,1.946
journal of physical and chemical reference data,4.204
journal of physical chemistry a,2.847
journal of physical chemistry b,3.177
journal of physical chemistry c,4.536
journal of physical chemistry letters,9.353
journal of physical oceanography,3.13
journal of physical organic chemistry,1.336
journal of physics a-mathematical and theoretical,1.857
journal of physics and chemistry of solids,2.059
journal of physics b-atomic molecular and optical physics,1.792
journal of physics d-applied physics,2.588
journal of physics g-nuclear and particle physics,2.899
journal of physics-condensed matter,2.649
journal of physiological anthropology,1.25
journal of physiological sciences,2.075
journal of physiology and biochemistry,2.444
journal of physiology and pharmacology,2.883
journal of physiology-london,4.739
journal of physiology-paris,2.704
journal of physiotherapy,4.083
journal of phytopathology,0.853
journal of pidgin and creole languages,0.4
journal of pineal research,10.391
journal of pipeline systems engineering and practice,1.17
journal of plankton research,1.983
journal of planning education and research,1.689
journal of planning literature,2.174
journal of plant biochemistry and biotechnology,0.954
journal of plant biology,1.437
journal of plant diseases and protection,0.485
journal of plant ecology,1.754
journal of plant growth regulation,2.073
journal of plant interactions,1.628
journal of plant nutrition,0.618
journal of plant nutrition and soil science,2.102
journal of plant pathology,1.267
journal of plant physiology,3.121
journal of plant registrations,0.616
journal of plant research,1.899
journal of plasma physics,1.16
journal of plastic film & sheeting,1.25
journal of plastic reconstructive and aesthetic surgery,2.048
journal of plastic surgery and hand surgery,0.901
journal of policy analysis and management,3.415
journal of policy and practice in intellectual disabilities,0.97
journal of policy history,0.365
journal of policy modeling,0.993
journal of politeness research-language behaviour culture,0.522
journal of political economy,3.923
journal of political philosophy,2.182
journal of politics,1.938
journal of polymer engineering,0.658
journal of polymer materials,0.318
journal of polymer research,1.615
journal of polymer science part a-polymer chemistry,2.952
journal of polymer science part b-polymer physics,2.838
journal of polymers and the environment,1.877
journal of popular culture,0.103
journal of population economics,1.136
journal of porous materials,1.624
journal of porous media,1.144
journal of porphyrins and phthalocyanines,1.043
journal of portfolio management,0.41
journal of positive behavior interventions,1.929
journal of positive psychology,2.327
journal of post keynesian economics,0.5
journal of postgraduate medicine,0.912
journal of poultry science,0.771
journal of power electronics,1.047
journal of power sources,6.395
journal of pragmatics,0.918
journal of pressure vessel technology-transactions of the asme,0.729
journal of primary prevention,1.597
journal of process control,2.7
journal of product innovation management,3.759
journal of productivity analysis,1.101
journal of professional issues in engineering education and practice,0.921
journal of professional nursing,1.146
journal of propulsion and power,1.144
journal of prosthetic dentistry,2.095
journal of prosthodontic research,2.561
journal of prosthodontics-implant esthetic and reconstructive dentistry,1.452
journal of proteome research,4.268
journal of proteomics,3.914
journal of pseudo-differential operators and applications,0.529
journal of psychiatric and mental health nursing,1.131
journal of psychiatric practice,1.731
journal of psychiatric research,4.183
journal of psychiatry & neuroscience,5.165
journal of psychoactive drugs,1.74
journal of psychoeducational assessment,1.034
journal of psycholinguistic research,0.66
journal of psychologists and counsellors in schools,0.118
journal of psychology,1.642
journal of psychology and theology,1.019
journal of psychology in africa,0.373
journal of psychopathology and behavioral assessment,1.905
journal of psychopharmacology,4.179
journal of psychophysiology,0.683
journal of psychosocial nursing and mental health services,0.711
journal of psychosocial oncology,1.312
journal of psychosomatic obstetrics & gynecology,1.575
journal of psychosomatic research,2.809
journal of public administration research and theory,3.624
journal of public economic theory,0.548
journal of public economics,1.538
journal of public health,2.125
journal of public health dentistry,1.378
journal of public health management and practice,1.258
journal of public health policy,1.556
journal of public policy,1.778
journal of public policy & marketing,1.786
journal of public relations research,1.72
journal of public transportation,0.71
journal of purchasing and supply management,3.24
journal of pure and applied algebra,0.652
journal of quality technology,1.833
journal of quantitative criminology,3.456
journal of quantitative linguistics,0.171
journal of quantitative spectroscopy & radiative transfer,2.419
journal of quaternary science,2.469
journal of radiation research,1.788
journal of radioanalytical and nuclear chemistry,1.282
journal of radiological protection,1.657
journal of raman spectroscopy,2.969
journal of raptor research,0.745
journal of rare earths,2.429
journal of rational-emotive and cognitive-behavior therapy,0.696
journal of real estate finance and economics,0.828
journal of real estate research,0.65
journal of real-time image processing,2.01
journal of receptors and signal transduction,1.614
journal of reconstructive microsurgery,2.216
